"","IdVoluntario","energia2_kcal"," SoFAAS_Score","Sat_Fat_Score"," Sodium_Score","meats_eggs_legumes_score","grain_roots_tubers_score","milk_dairy_score","total_fruit_score","total_vegetable_score","vegetable_oils_nuts_fishoil_score","dark_green_orange_veg_legume_score","whole_fruit_score","whole_grain_score","BHEI_R_Score_Total","          class"
"","Length:129        ","Min.   : 521.9  ","Min.   : 2.108  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 6.374  ","Min.   :0.5931  ","Min.   : 0.0000  ","Min.   :0.0000  ","Min.   :0.1411  ","Min.   : 0.000  ","Min.   :0.000  ","Min.   :0.00000  ","Min.   :0.00000  ","Min.   :21.49  ","Baixa        :51  "
"","Class :character  ","1st Qu.:1518.6  ","1st Qu.:12.938  ","1st Qu.: 4.653  ","1st Qu.: 3.940  ","1st Qu.:10.000  ","1st Qu.:2.1540  ","1st Qu.: 0.7031  ","1st Qu.:0.3110  ","1st Qu.:1.1390  ","1st Qu.: 0.000  ","1st Qu.:1.246  ","1st Qu.:0.00000  ","1st Qu.:0.00000  ","1st Qu.:45.61  ","Intermediária:62  "
"","Mode  :character  ","Median :1954.3  ","Median :15.798  ","Median : 6.548  ","Median : 5.513  ","Median :10.000  ","Median :3.0911  ","Median : 1.8689  ","Median :0.7251  ","Median :1.7125  ","Median : 7.532  ","Median :1.984  ","Median :0.00000  ","Median :0.00000  ","Median :54.17  ","Boa          :16  "
"",NA,"Mean   :2110.3  ","Mean   :15.057  ","Mean   : 6.259  ","Mean   : 5.438  ","Mean   : 9.904  ","Mean   :3.1772  ","Mean   : 2.3495  ","Mean   :1.0889  ","Mean   :2.0781  ","Mean   : 5.664  ","Mean   :2.210  ","Mean   :0.04118  ","Mean   :0.02035  ","Mean   :53.29  ",NA
"",NA,"3rd Qu.:2606.6  ","3rd Qu.:17.678  ","3rd Qu.: 8.059  ","3rd Qu.: 7.355  ","3rd Qu.:10.000  ","3rd Qu.:4.1564  ","3rd Qu.: 2.9572  ","3rd Qu.:1.4982  ","3rd Qu.:2.8261  ","3rd Qu.:10.000  ","3rd Qu.:2.889  ","3rd Qu.:0.00000  ","3rd Qu.:0.00000  ","3rd Qu.:60.00  ",NA
"",NA,"Max.   :6096.1  ","Max.   :20.000  ","Max.   :10.000  ","Max.   :10.000  ","Max.   :10.000  ","Max.   :5.0000  ","Max.   :10.0000  ","Max.   :5.0000  ","Max.   :5.0000  ","Max.   :10.000  ","Max.   :5.000  ","Max.   :5.00000  ","Max.   :2.62531  ","Max.   :80.56  ",NA
